service_id,date,exception_type
DEC25-D02CAR-1_Weekday-SANTHB0,20260106,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260106,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260106,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260106,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260106,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260107,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260107,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260107,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260107,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260107,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260107,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260108,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260108,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260108,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260108,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260108,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260108,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260109,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260109,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260109,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260109,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260109,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260109,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260112,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260112,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260112,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260112,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260112,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260113,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260113,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260113,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260113,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260113,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260114,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260114,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260114,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260114,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260114,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260115,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260115,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260115,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260115,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260115,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260116,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260116,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260116,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260116,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260116,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260119,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260119,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260119,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260119,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260119,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260119,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260120,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260120,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260120,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260120,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260120,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260121,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260121,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260121,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260121,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260121,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260122,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260122,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260122,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260122,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260122,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260123,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260123,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260123,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260123,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260123,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260126,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260126,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260126,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260126,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260126,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260127,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260127,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260127,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260127,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260127,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260128,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260128,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260128,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260128,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260128,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260129,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260129,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260129,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260129,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260129,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260130,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260130,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260130,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260130,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260130,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260202,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260202,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260202,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260202,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260202,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260203,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260203,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260203,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260203,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260203,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260204,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260204,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260204,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260204,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260204,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260205,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260205,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260205,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260205,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260205,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260206,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260206,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260206,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260206,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260206,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260209,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260209,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260209,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260209,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260209,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260210,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260210,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260210,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260210,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260210,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260211,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260211,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260211,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260211,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260211,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260212,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260212,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260212,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260212,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260212,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260213,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260213,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260213,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260213,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260213,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260216,2
